Line Number	Verse Reference	Word	Following Word	Following Word Has Accent	Accent Count	Accent Positions	Full Line
792	ΓΕΝΕΣΙΣ 24:29	Ῥεβέκκᾷ	ἀδελφὸς	Yes	2	pos 3: ACUTE on ε; pos 6: CIRCUMFLEX on α	\vs{29}Τῇ δὲ Ῥεβέκκᾷ ἀδελφὸς ἦν, ᾧ ὄνομα Λάβαν· καὶ ἔδραμε Λάβαν πρὸς τὸν ἄνθρωπον ἔξω ἐπὶ τὴν πηγήν.
1008	ΓΕΝΕΣΙΣ 29:17	ὀφθάλμοὶ	Λείας	Yes	2	pos 3: ACUTE on α; pos 7: GRAVE on ι	\vs{17}Οἱ δὲ ὀφθάλμοὶ Λείας, ἀσθενεῖς· Ῥαχῆλ δὲ ἦν καλὴ τῷ εἴδει, καὶ ὡραία τῇ ὄψει σφόδρα.
1051	ΓΕΝΕΣΙΣ 30:22	ἔπήκουσεν	αὐτῆς	Yes	2	pos 0: ACUTE on ε; pos 2: ACUTE on η	\vs{22}Ἐμνήσθη δὲ ὁ Θεὸς τῆς Ῥαχὴλ, καὶ ἔπήκουσεν αὐτῆς ὁ Θεός· καὶ ἀνέῳξεν αὐτῆς τὴν μήτραν.
1388	ΓΕΝΕΣΙΣ 39:9	ταύτῆ	οὐθὲν	Yes	2	pos 2: ACUTE on υ; pos 4: CIRCUMFLEX on η	\vs{9}καὶ οὐχ ὑπερέχει ἐν τῇ οἰκίᾳ ταύτῆ οὐθὲν ἐμοῦ, οὐδὲ ὑπεξῄρηται ἀπʼ ἐμοῦ οὐδὲν, πλὴν σοῦ, διὰ τὸ σὲ γυναῖκα αὐτοῦ εἶναι, καὶ πῶς ποιήσω τὸ ῥῆμα τὸ πονηρὸν τοῦτο, καὶ ἁμαρτήσομαι ἐναντίον τοῦ Θεοῦ;
1397	ΓΕΝΕΣΙΣ 39:18	ἤκοῦσεν	ὅτι	Yes	2	pos 0: ACUTE on η; pos 3: CIRCUMFLEX on υ	\vs{18}Ὡς δὲ ἤκοῦσεν, ὅτι ὕψωσα τὴν φωνήν μου καὶ ἐβόησα, καταλιπὼν τὰ ἱμάτια αὐτοῦ παρʼ ἐμοὶ ἔφυγε, καὶ ἐξῆλθεν ἔξω.
1417	ΓΕΝΕΣΙΣ 40:12	σύγκρίσις	αὐτοῦ	Yes	2	pos 1: ACUTE on υ; pos 5: ACUTE on ι	\vs{12}Καὶ εἶπεν αὐτῷ Ἰωσὴφ, τοῦτο ἡ σύγκρίσις αὐτοῦ· οἱ τρεῖς πυθμένες, τρεῖς ἡμέραι εἰσίν.
1454	ΓΕΝΕΣΙΣ 41:24	ἐξῆγηταῖς	καὶ	Yes	2	pos 2: CIRCUMFLEX on η; pos 7: CIRCUMFLEX on ι	\vs{24}Καὶ κατέπιον οἱ ἑπτὰ στάχυες οἱ λεπτοὶ καὶ ἀνεμόφθοροι τοὺς ἑπτὰ στάχυας τοὺς καλοὺς καὶ τοὺς πλήρεις· εἶπα οὖν τοῖς ἐξῆγηταῖς, καὶ οὐκ ἦν ὁ ἀπαγγέλλων μοι αὐτό.
1532	ΓΕΝΕΣΙΣ 42:38	ᾅδοῦ		N/A	2	pos 0: ACUTE on α; pos 3: CIRCUMFLEX on υ	\vs{38}Ὁ δὲ εἶπεν, οὐ καταβήσεται ὁ υἱός μου μεθʼ ὑμῶν, ὅτι ὁ ἀδελφὸς αὐτοῦ ἀπέθανε, καὶ αὐτὸς μόνος καταλέλειπται· καὶ συμβήσεται αὐτὸν μαλακισθῆναι ἐν τῇ ὁδῷ, ᾗ ἐὰν πορεύησθε, καὶ κατάξετέ μου τὸ γῆρας μετὰ λύπης εἰς ᾅδοῦ.
1758	ΓΕΝΕΣΙΣ 49:19	πειράτεύσει	αὐτὸν	Yes	2	pos 4: ACUTE on α; pos 7: ACUTE on υ	\vs{19}Γὰδ, πειρατήριον πειρατεύσει αὐτόν· αὐτὸς δὲ πειράτεύσει αὐτὸν κατὰ πόδας.
1910	ΕΞΟΔΟΣ 4:23	ἀποκτένῶ	τὸν	Yes	2	pos 5: ACUTE on ε; pos 7: CIRCUMFLEX on ω	\vs{23}Εἶπα δέ σοι, ἐξαπόστειλον τὸν λαόν μου, ἵνα μοι λατρεύσῃ· εἰ μὲν οὖν μὴ βούλει ἐξαποστεῖλαι αὐτούς, ὅρα οὖν, ἐγὼ ἀποκτένῶ τὸν υἱόν σου τὸν πρωτότοκον.
1986	ΕΞΟΔΟΣ 7:7	ὀγδοήκοντατριῶν	ἡνίκα	Yes	2	pos 4: ACUTE on η; pos 13: CIRCUMFLEX on ω	\vs{7}Μωυσῆς δὲ ἦν ἐτῶν ὀγδοήκοντα, Ἀαρὼν δὲ ὁ ἀδελφὸς αὐτοῦ ἐτῶν ὀγδοήκοντατριῶν, ἡνίκα ἐλάλησεν πρὸς Φαραώ.
