Line Number	Verse Reference	Unaccented Words	Suggested Fix	Total Count	Reason	Context Before	Context After	Full Line
133	ΓΕΝΕΣΙΣ 2:12	ἐστιν ὁ	ἐστιν ὁ	474	consecutive enclitics	ἐκεῖ	ἄνθραξ	\vs{12}Τὸ δὲ χρυσίον τῆς γῆς ἐκείνης καλόν· καὶ ἐκεῖ ἐστιν ὁ ἄνθραξ, καὶ ὁ λίθος ὁ πράσινος.
152	ΓΕΝΕΣΙΣ 3:3	ἐστιν ἐν	ἐστιν ἐν	474	consecutive enclitics	ὅ	μέσῳ	\vs{3}Ἀπὸ δὲ τοῦ καρποῦ τοῦ ξύλου, ὅ ἐστιν ἐν μέσῳ τοῦ παραδείσου, εἶπεν ὁ Θεός, οὐ φάγεσθε ἀπʼ αὐτοῦ, οὐδὲ μὴ ἅψησθε αὐτοῦ, ἵνα μὴ ἀποθάνητε.
169	ΓΕΝΕΣΙΣ 3:19	σε εἰς	σε εἰς	1148	consecutive enclitics	ἀποστρέψαι	τὴν	\vs{19}Ἐν ἱδρῶτι τοῦ προσώπου σου φαγῃ τὸν ἄρτον σου, ἕως τοῦ ἀποστρέψαι σε εἰς τὴν γῆν ἐξ ἧς ἐλήμφθης· ὅτι γῆ εἶ, καὶ εἰς γῆν ἀπελεύσῃ.
188	ΓΕΝΕΣΙΣ 4:10	με ἐκ	με ἐκ	1285	consecutive enclitics	πρός	τῆς	\vs{10}Καὶ εἶπε Κύριος, τί πεποίηκας; φωνὴ αἵματος τοῦ ἀδελφοῦ σου βοᾷ πρός με ἐκ τῆς γῆς.
206	ΓΕΝΕΣΙΣ 4:25	μοι ὁ	μοι ὁ	882	consecutive enclitics	γάρ	Θεὸς	\vs{25}Ἔγνω δὲ Ἀδὰμ Εὔαν τὴν γυναῖκα αὐτοῦ· καὶ συλλαβοῦσα ἔτεκεν υἱόν· καὶ ἐπωνόμασε τὸ ὄνομα αὐτοῦ Σὴθ, λέγουσα, ἐξανέστησε γάρ μοι ὁ Θεὸς σπέρμα ἕτερον ἀντὶ Ἄβελ, ὃν ἀπέκτεινε Κάϊν.
247	ΓΕΝΕΣΙΣ 6:3	μου ἐν	μου ἐν	4317	consecutive enclitics	πνεῦμά	τοῖς	\vs{3}Καὶ εἶπε Κύριος ὁ Θεὸς, οὐ μὴ καταμείνῃ τὸ πνεῦμά μου ἐν τοῖς ἀνθρώποις τούτοις εἰς τὸν αἰῶνα, διὰ τὸ εἶναι αὐτοὺς σάρκας· ἔσονται δὲ αἱ ἡμέραι αὐτῶν, ἑκατὸν εἴκοσιν ἔτη.
248	ΓΕΝΕΣΙΣ 6:4	οἱ ἀπ	οἱ ἀπ	4140	consecutive enclitics	γίγαντες		\vs{4}Οἱ δὲ γίγαντες ἦσαν ἐπὶ τῆς γῆς ἐν ταῖς ἡμέραις ἐκείναις, καὶ μετʼ ἐκεῖνο, ὡς ἂν εἰσεπορεύοντο οἱ υἱοὶ τοῦ Θεοῦ πρὸς τὰς θυγατέρας τῶν ἀνθρώπων, καὶ ἐγεννῶσαν αὐτοῖς· ἐκεῖνοι ἦσαν οἱ γίγαντες οἱ ἀπʼ αἰῶνος, οἱ ἄνθρωποι οἱ ὀνομαστοί.
273	ΓΕΝΕΣΙΣ 7:1	σου εἰς	σου εἰς	5611	consecutive enclitics	οἶκός	τὴν	Καὶ εἶπε Κύριος ὁ Θεὸς πρὸς Νῶε, εἴσελθε σὺ καὶ πᾶς ὁ οἶκός σου εἰς τὴν κιβωτὸν, ὅτι σὲ εἶδον δίκαιον ἐναντίον μου ἐν τῇ γενεᾷ ταύτῃ.
273	ΓΕΝΕΣΙΣ 7:1	μου ἐν	μου ἐν	4317	consecutive enclitics	ἐναντίον	τῇ	Καὶ εἶπε Κύριος ὁ Θεὸς πρὸς Νῶε, εἴσελθε σὺ καὶ πᾶς ὁ οἶκός σου εἰς τὴν κιβωτὸν, ὅτι σὲ εἶδον δίκαιον ἐναντίον μου ἐν τῇ γενεᾷ ταύτῃ.
296	ΓΕΝΕΣΙΣ 7:23	οἱ μετ	οἱ μετ	4140	consecutive enclitics	καὶ		\vs{23}Καὶ ἐξήλειψε πᾶν τὸ ἀνάστημα, ὃ ἦν ἐπὶ προσώπου τῆς γῆς, ἀπὸ ἀνθρώπου ἕως κτήνους, καὶ ἑρπετῶν, καὶ τῶν πετεινῶν τοῦ οὐρανοῦ· καὶ ἐξηλείφησαν ἀπὸ τῆς γῆς· καὶ κατελείφθη μόνος Νῶε, καὶ οἱ μετʼ αὐτοῦ ἐν τῇ κιβωτῷ.
338	ΓΕΝΕΣΙΣ 9:12	ἐστι μεθ	ἐστι μεθ	415	consecutive enclitics	ἥ		\vs{12}Καὶ εἶπε Κύριος ὁ Θεὸς πρὸς Νῶε· τοῦτο τὸ σημεῖον τῆς διαθήκης, ὃ ἐγὼ δίδωμι ἀνὰ μέσον ἐμοῦ καὶ ὑμῶν, καὶ ἀνὰ μέσον πάσης ψυχῆς ζώσης, ἥ ἐστι μεθʼ ὑμῶν εἰς γενεὰς αἰωνίους.
342	ΓΕΝΕΣΙΣ 9:16	μου ἐν	μου ἐν	4317	consecutive enclitics	τόξον	τῇ	\vs{16}Καὶ ἔσται τὸ τόξον μου ἐν τῇ νεφέλῃ· καὶ ὄψομαι τοῦ μνησθῆναι διαθήκην αἰώνιον ἀνὰ μέσον ἐμοῦ καὶ τῆς γῆς, καὶ ἀνὰ μέσον ψυχῆς ζώσης ἐν πάσῃ σαρκὶ, ἥ ἐστιν ἐπὶ τῆς γῆς.
445	ΓΕΝΕΣΙΣ 12:12	σε οἱ	σε οἱ	1148	consecutive enclitics	ἴδωσί	Αἰγύπτιοι	\vs{12}Ἔσται οὖν ὡς ἂν ἴδωσί σε οἱ Αἰγύπτιοι, ἐροῦσιν ὅτι γυνὴ αὐτοῦ ἐστιν αὐτὴ, καὶ ἀποκτενοῦσί με, σὲ δὲ περιποιήσονται.
465	ΓΕΝΕΣΙΣ 13:10	ὡς ὁ	ὡς ὁ	1776	consecutive enclitics	Γόμοῤῥα	παράδεισος	\vs{10}Καὶ ἐπάρας Λὼτ τοὺς ὀφθαλμοὺς αὐτοῦ, ἐπεῖδε πᾶσαν τὴν περίχωρον τοῦ Ἰορδάνου, ὅτι πᾶσα ἦν ποτιζομένη, πρὸ τοῦ καταστρέψαι τὸν Θεὸν Σόδομα καὶ Γόμοῤῥα, ὡς ὁ παράδεισος τοῦ Θεοῦ, καὶ ὡς ἡ γῆ Αἰγύπτου, ἕως ἐλθεῖν εἰς Ζόγορα.
465	ΓΕΝΕΣΙΣ 13:10	ὡς ἡ	ὡς ἡ	1776	consecutive enclitics	καὶ	γῆ	\vs{10}Καὶ ἐπάρας Λὼτ τοὺς ὀφθαλμοὺς αὐτοῦ, ἐπεῖδε πᾶσαν τὴν περίχωρον τοῦ Ἰορδάνου, ὅτι πᾶσα ἦν ποτιζομένη, πρὸ τοῦ καταστρέψαι τὸν Θεὸν Σόδομα καὶ Γόμοῤῥα, ὡς ὁ παράδεισος τοῦ Θεοῦ, καὶ ὡς ἡ γῆ Αἰγύπτου, ἕως ἐλθεῖν εἰς Ζόγορα.
468	ΓΕΝΕΣΙΣ 13:13	οἱ ἐν	οἱ ἐν	4140	consecutive enclitics	ἄνθρωποι	Σοδόμοις	\vs{13}Οἱ δὲ ἄνθρωποι οἱ ἐν Σοδόμοις πονηροὶ καὶ ἁμαρτωλοὶ ἐναντίον τοῦ Θεοῦ σφόδρα.
472	ΓΕΝΕΣΙΣ 13:17	σου εἰς	σου εἰς	5611	consecutive enclitics	σπέρματί	τὸν	\vs{17}Ἀναστὰς διόδευσον τὴν γῆν εἴς τε τὸ μῆκος αὐτῆς καὶ εἰς τὸ πλάτος· ὅτι σοι δώσω αὐτὴν καὶ τῷ σπέρματί σου εἰς τὸν αἰῶνα.
481	ΓΕΝΕΣΙΣ 14:6	ἐστιν ἐν	ἐστιν ἐν	474	consecutive enclitics	ἥ	τῇ	\vs{6}Καὶ τοὺς Χοῤῥαίους τοὺς ἐν τοῖς ὄρεσι Σηεὶρ, ἕως τῆς τερεβίνθου τῆς Φαρὰν, ἥ ἐστιν ἐν τῇ ἐρήμῳ.
491	ΓΕΝΕΣΙΣ 14:15	ἐστιν ἐν	ἐστιν ἐν	474	consecutive enclitics	ἥ	ἀριστερᾷ	\vs{15}Καὶ ἐπέπεσεν ἐπʼ αὐτοὺς τὴν νύκτα αὐτὸς, καὶ οἱ παῖδες αὐτοῦ, καὶ ἐπάταξεν αὐτοὺς, καὶ κατεδίωξεν αὐτοὺς ἕως Χοβὰ, ἥ ἐστιν ἐν ἀριστερᾷ Δαμασκοῦ.
510	ΓΕΝΕΣΙΣ 15:7	σε ἐκ	σε ἐκ	1148	consecutive enclitics	ἐξαγαγών	χώρας	\vs{7}Εἶπε δὲ πρὸς αὐτὸν, ἐγὼ ὁ Θεὸς ὁ ἐξαγαγών σε ἐκ χώρας Χαλδαίων, ὥστε δοῦναί σοι τὴν γῆν ταύτην κληρονομῆσαι.
516	ΓΕΝΕΣΙΣ 15:13	σου ἐν	σου ἐν	5611	consecutive enclitics	σπέρμα	γῇ	\vs{13}Καὶ ἐῤῥέθη πρὸς Ἅβραμ· γινώσκων γνώσῃ ὅτι πάροικον ἔσται τὸ σπέρμα σου ἐν γῇ οὐκ ἰδίᾳ, καὶ δουλώσουσιν αὐτοὺς, καὶ κακώσουσιν αὐτοὺς, καὶ ταπεινώσουσιν αὐτοὺς, τετρακόσια ἔτη.
518	ΓΕΝΕΣΙΣ 15:15	σου ἐν	σου ἐν	5611	consecutive enclitics	πατέρας	εἰρήνῃ	\vs{15}Σὺ δὲ ἀπελεύσῃ πρὸς τοὺς πατέρας σου ἐν εἰρήνῃ, τραφεὶς ἐν γήρᾳ καλῷ.
531	ΓΕΝΕΣΙΣ 16:5	μου εἰς	μου εἰς	4317	consecutive enclitics	παιδίσκην	τὸν	\vs{5}Εἶπε δὲ Σάρα πρὸς Ἅβραμ, ἀδικοῦμαι ἐκ σοῦ· ἐγὼ δέδωκα τὴν παιδίσκην μου εἰς τὸν κόλπον σου, ἰδοῦσα δὲ ὅτι ἐν γαστρὶ ἔχει, ἠτιμάσθην ἐναντίον αὐτῆς. κρίναι ὁ Θεὸς ἀνὰ μέσον ἐμοῦ καὶ σου.
546	ΓΕΝΕΣΙΣ 17:1	εἰμι ὁ	εἰμι ὁ	263	consecutive enclitics	ἐγώ	Θεός	Ἐγένετο δὲ Ἅβραμ ἐτῶν ἐννενηκονταεννέα. Καὶ ὤφθη Κύριος τῷ Ἅβραμ, καὶ εἶπεν αὐτῷ, ἐγώ εἰμι ὁ Θεός σου· εὐαρέστει ἐνώπιον ἐμοῦ, καὶ γίνου ἄμεμπτος.
551	ΓΕΝΕΣΙΣ 17:6	σε εἰς	σε εἰς	1148	consecutive enclitics	θήσω	ἔθνη	\vs{6}Καὶ αὐξανῶ σε σφόδρα σφόδρα, καὶ θήσω σε εἰς ἔθνη· καὶ βασιλεῖς ἐκ σοῦ ἐξελεύσονται.
561	ΓΕΝΕΣΙΣ 17:16	σοι ἐξ	σοι ἐξ	1034	consecutive enclitics	δώσω	αὐτῆς	\vs{16}Εὐλογήσω δὲ αὐτὴν, καὶ δώσω σοι ἐξ αὐτῆς τέκνον, καὶ εὐλογήσω αὐτὸ, καὶ ἔσται εἰς ἔθνη, καὶ βασιλεῖς ἐθνῶν ἐξ αὐτοῦ ἔσονται.
562	ΓΕΝΕΣΙΣ 17:17	εἰ ἡ	εἰ ἡ	544	consecutive enclitics	καὶ	Σάῤῥα	\vs{17}Καὶ ἔπεσεν Ἁβραὰμ ἐπὶ πρόσωπον αὐτοῦ, καὶ ἐγέλασε· καὶ εἶπεν ἐν τῇ διανοίᾳ αὐτοῦ, λέγων, εἰ τῷ ἑκατονταετεῖ γενήσεται υἱός; καὶ εἰ ἡ Σάῤῥα ἐννενήκοντα ἐτῶν τέξεται;
600	ΓΕΝΕΣΙΣ 18:23	ὡς ὁ	ὡς ὁ	1776	consecutive enclitics	δίκαιος	ἀσεβής	\vs{23}Καὶ ἐγγίσας Ἁβραὰμ, εἶπε, μὴ συναπολέσῃς δίκαιον μετὰ ἀσεβοῦς· καὶ ἔσται ὁ δίκαιος ὡς ὁ ἀσεβής.
602	ΓΕΝΕΣΙΣ 18:25	ὡς ὁ	ὡς ὁ	1776	consecutive enclitics	δίκαιος	ἀσεβής	\vs{25}Μηδαμῶς σὺ ποιήσεις ὡς τὸ ῥῆμα τοῦτο, τοῦ ἀποκτεῖναι δίκαιον μετὰ ἀσεβοῦς, καὶ ἔσται ὁ δίκαιος ὡς ὁ ἀσεβής· μηδαμῶς· ὁ κρίνων πᾶσαν τὴν γῆν, οὐ ποιήσεις κρίσιν;
